record_id,branch,domain,category,system_name,designation,variant,role_purpose,status,source_status,verification_status,verification_sources,status_as_of,commissioned_or_inducted_date,retired_or_decommissioned_date,quantity,quantity_min,quantity_max,quantity_raw,quantity_values,specifications,dimensions,make_manufacturer,country_of_origin,operators,notes,source_key,source_url,source_table,source_row,retrieved_at,raw_record
eq_9f380910f37f46474f56,Indian Army,land equipment and weapons,Armoured combat vehicles,Arjun Mk 1Arjun Mk 1A,Not documented,Not documented,Main battle tank,in_service_and_on_order,Status: In service. 5 Mk 1A to be inducted in 2024. 118 Mk 1A on order,not_independently_verified,[],2026-09-15,Not documented,Not documented,2,2,124,124 (Mk 1) 2 (Mk 1A),"[124, 2]",Not documented,Not documented,Not documented,India,Not documented,Status: In service. 5 Mk 1A to be inducted in 2024. 118 Mk 1A on order,army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,1,2026-09-15T03:49:19Z,"{""Image | Tanks"": """", ""Name | Tanks"": ""Arjun Mk 1Arjun Mk 1A"", ""Notes | Tanks"": ""Status: In service. 5 Mk 1A to be inducted in 2024. 118 Mk 1A on order"", ""Origin | Tanks"": ""India"", ""Quantity | Tanks"": ""124 (Mk 1) 2 (Mk 1A)"", ""Type | Tanks"": ""Main battle tank""}"
eq_00cc0764b1ab4f95383f,Indian Army,land equipment and weapons,Armoured combat vehicles,T-90S Bhishma T-90S Bhishma Mk 2 T-90 Bhishma Mk 3,Not documented,Not documented,Main battle tank,in_service_and_on_order,Status: In service. Initial orders were a combination of Russian-made and locally assembled units before being licence-produced by Heavy Vehicles Factory. T-90S being upgraded to T-90MS standard. 464 Mk 3 ordered in 2019. 10 delivered as of 2024.,not_independently_verified,[],2026-09-15,Not documented,Not documented,10,10,1300,1300 (T-90S) 10 (Mk 3),"[1300, 10]",Not documented,Not documented,Not documented,Russia India,Not documented,Status: In service. Initial orders were a combination of Russian-made and locally assembled units before being licence-produced by Heavy Vehicles Factory. T-90S being upgraded to T-90MS standard. 464 Mk 3 ordered in 2019. 10 delivered as of 2024.,army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,2,2026-09-15T03:49:19Z,"{""Image | Tanks"": """", ""Name | Tanks"": ""T-90S Bhishma T-90S Bhishma Mk 2 T-90 Bhishma Mk 3"", ""Notes | Tanks"": ""Status: In service. Initial orders were a combination of Russian-made and locally assembled units before being licence-produced by Heavy Vehicles Factory. T-90S being upgraded to T-90MS standard. 464 Mk 3 ordered in 2019. 10 delivered as of 2024."", ""Origin | Tanks"": ""Russia India"", ""Quantity | Tanks"": ""1300 (T-90S) 10 (Mk 3)"", ""Type | Tanks"": ""Main battle tank""}"
eq_6735dc7c96e5063654a5,Indian Army,land equipment and weapons,Armoured combat vehicles,T-72M1 AjeyaT-72 Ajeya Mk 2 T-72 Combat Improved Ajeya,Not documented,Not documented,Main battle tank,in_service,"Status: In service. To be replaced by Future Ready Combat Vehicle and Future Main Battle Tank programmes. 968 T72M1 upgraded by HVF. 1400 T-72M1 fitted with ERA MK1 armour being upgraded to ERA Mk 2. standard. Further 1,000 tanks will be upgraded with new engines, fire control system & other modern systems.",not_independently_verified,[],2026-09-15,Not documented,Not documented,2418,2418,2418,"2,418",[2418],Not documented,Not documented,Not documented,Soviet Union India,Not documented,"Status: In service. To be replaced by Future Ready Combat Vehicle and Future Main Battle Tank programmes. 968 T72M1 upgraded by HVF. 1400 T-72M1 fitted with ERA MK1 armour being upgraded to ERA Mk 2. standard. Further 1,000 tanks will be upgraded with new engines, fire control system & other modern systems.",army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,3,2026-09-15T03:49:19Z,"{""Image | Tanks"": """", ""Name | Tanks"": ""T-72M1 AjeyaT-72 Ajeya Mk 2 T-72 Combat Improved Ajeya"", ""Notes | Tanks"": ""Status: In service. To be replaced by Future Ready Combat Vehicle and Future Main Battle Tank programmes. 968 T72M1 upgraded by HVF. 1400 T-72M1 fitted with ERA MK1 armour being upgraded to ERA Mk 2. standard. Further 1,000 tanks will be upgraded with new engines, fire control system & other modern systems."", ""Origin | Tanks"": ""Soviet Union India"", ""Quantity | Tanks"": ""2,418"", ""Type | Tanks"": ""Main battle tank""}"
eq_0b2eb4b6762d86887466,Indian Army,land equipment and weapons,Armoured combat vehicles,Zorawar,Not documented,Not documented,Light tank,on_order,Status: On order. 295 more planned.,not_independently_verified,[],2026-09-15,Not documented,Not documented,59,59,59,59 (on order),[59],Not documented,Not documented,Not documented,India,Not documented,Status: On order. 295 more planned.,army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,4,2026-09-15T03:49:19Z,"{""Image | Tanks"": """", ""Name | Tanks"": ""Zorawar"", ""Notes | Tanks"": ""Status: On order. 295 more planned."", ""Origin | Tanks"": ""India"", ""Quantity | Tanks"": ""59 (on order)"", ""Type | Tanks"": ""Light tank""}"
eq_0d8b46c10ffa505a6e6e,Indian Army,land equipment and weapons,Armoured combat vehicles,BMP-2 Sarath,Not documented,Not documented,Tracked infantry fighting vehicle,in_service_and_on_order,"Status: In service. All BMP-2/2K vehicles are to be upgraded to BMP-2M standard. Manufactured locally in India by Ordnance Factory Medak. In March 2024, MoD signed an initial contract with AVNL to upgrade 693 units to BMP-2M configuration. Additional 156 units on order.",not_independently_verified,[],2026-09-15,Not documented,Not documented,2400,2400,2400,"2,400",[2400],Not documented,Not documented,Not documented,India Soviet Union,Not documented,"Status: In service. All BMP-2/2K vehicles are to be upgraded to BMP-2M standard. Manufactured locally in India by Ordnance Factory Medak. In March 2024, MoD signed an initial contract with AVNL to upgrade 693 units to BMP-2M configuration. Additional 156 units on order.",army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,6,2026-09-15T03:49:19Z,"{""Image | Tanks"": """", ""Name | Tanks"": ""BMP-2 Sarath"", ""Notes | Tanks"": ""Status: In service. All BMP-2/2K vehicles are to be upgraded to BMP-2M standard. Manufactured locally in India by Ordnance Factory Medak. In March 2024, MoD signed an initial contract with AVNL to upgrade 693 units to BMP-2M configuration. Additional 156 units on order."", ""Origin | Tanks"": ""India Soviet Union"", ""Quantity | Tanks"": ""2,400"", ""Type | Tanks"": ""Tracked infantry fighting vehicle""}"
eq_909f8dda62f2f9f6dbb6,Indian Army,land equipment and weapons,Armoured combat vehicles,Tata Kestrel,Not documented,Not documented,Wheeled infantry fighting vehicle,in_service_and_on_order,Status: In service. 9 on order with additional 105 planned.,not_independently_verified,[],2026-09-15,Not documented,Not documented,15,15,15,15,[15],Not documented,Not documented,Not documented,India,Not documented,Status: In service. 9 on order with additional 105 planned.,army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,7,2026-09-15T03:49:19Z,"{""Image | Tanks"": """", ""Name | Tanks"": ""Tata Kestrel"", ""Notes | Tanks"": ""Status: In service. 9 on order with additional 105 planned."", ""Origin | Tanks"": ""India"", ""Quantity | Tanks"": ""15"", ""Type | Tanks"": ""Wheeled infantry fighting vehicle""}"
eq_725b1acb9bcbff2d5e45,Indian Army,land equipment and weapons,Armoured combat vehicles,NAMICA,Not documented,Not documented,Tracked tank destroyer,on_order,Status: On order. 13 units ordered on 27 March 2025.,official_claim_available,"[""https://www.pib.gov.in/PressReleasePage.aspx?PRID=2115804&lang=2&reg=48&s=09""]",2026-09-15,Not documented,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,India,Not documented,Status: On order. 13 units ordered on 27 March 2025.,army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,9,2026-09-15T03:49:19Z,"{""Image | Tanks"": """", ""Name | Tanks"": ""NAMICA"", ""Notes | Tanks"": ""Status: On order. 13 units ordered on 27 March 2025."", ""Origin | Tanks"": ""India"", ""Quantity | Tanks"": """", ""Type | Tanks"": ""Tracked tank destroyer""}"
eq_0bfcb74d196e49ff7eed,Indian Army,land equipment and weapons,Armoured combat vehicles,NBC Reconnaissance Vehicle,Not documented,Not documented,CRBN reconnaissance vehicle,in_service,Status: In service. BMP-2 based CRBN developed by CVRDE and produced by Ordnance Factory Medak.,not_independently_verified,[],2026-09-15,Not documented,Not documented,16,16,16,16,[16],Not documented,Not documented,Not documented,India,Not documented,Status: In service. BMP-2 based CRBN developed by CVRDE and produced by Ordnance Factory Medak.,army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,11,2026-09-15T03:49:19Z,"{""Image | Tanks"": """", ""Name | Tanks"": ""NBC Reconnaissance Vehicle"", ""Notes | Tanks"": ""Status: In service. BMP-2 based CRBN developed by CVRDE and produced by Ordnance Factory Medak."", ""Origin | Tanks"": ""India"", ""Quantity | Tanks"": ""16"", ""Type | Tanks"": ""CRBN reconnaissance vehicle""}"
eq_656c6c2bca4dd95bc829,Indian Army,land equipment and weapons,Armoured combat vehicles,Carrier Mortar Tracked,Not documented,Not documented,Mortar carrier,in_service,Status: In service. BMP-2 based mortar carrier. Developed by CVRDE and manufactured by Ordnance Factory Medak.,not_independently_verified,[],2026-09-15,Not documented,Not documented,220,220,220,220,[220],Not documented,Not documented,Not documented,India,Not documented,Status: In service. BMP-2 based mortar carrier. Developed by CVRDE and manufactured by Ordnance Factory Medak.,army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,12,2026-09-15T03:49:19Z,"{""Image | Tanks"": """", ""Name | Tanks"": ""Carrier Mortar Tracked"", ""Notes | Tanks"": ""Status: In service. BMP-2 based mortar carrier. Developed by CVRDE and manufactured by Ordnance Factory Medak."", ""Origin | Tanks"": ""India"", ""Quantity | Tanks"": ""220"", ""Type | Tanks"": ""Mortar carrier""}"
eq_791deb6def844fbbe208,Indian Army,land equipment and weapons,Armoured combat vehicles,DRDO Armoured Ambulance,Not documented,Not documented,Armoured ambulance,in_service_and_on_order,"Status: In service. BMP-2 based armoured ambulance developed by CVRDE and produced by Ordnance Factory Medak, 288 ordered.",not_independently_verified,[],2026-09-15,Not documented,Not documented,275,275,275,275,[275],Not documented,Not documented,Not documented,India,Not documented,"Status: In service. BMP-2 based armoured ambulance developed by CVRDE and produced by Ordnance Factory Medak, 288 ordered.",army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,13,2026-09-15T03:49:19Z,"{""Image | Tanks"": """", ""Name | Tanks"": ""DRDO Armoured Ambulance"", ""Notes | Tanks"": ""Status: In service. BMP-2 based armoured ambulance developed by CVRDE and produced by Ordnance Factory Medak, 288 ordered."", ""Origin | Tanks"": ""India"", ""Quantity | Tanks"": ""275"", ""Type | Tanks"": ""Armoured ambulance""}"
