source_key,source_url,source_table,source_row,retrieved_at,Name | Tracked self-propelled howitzers,Image | Tracked self-propelled howitzers,Type | Tracked self-propelled howitzers,Quantity | Tracked self-propelled howitzers,Origin | Tracked self-propelled howitzers,Notes | Tracked self-propelled howitzers
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,6,1,2026-09-15T04:05:32Z,K9 Vajra-T,,Self-propelled howitzer 155 mm L/52,100,Republic of Korea India,Status: In service. 1st batch of 100 units ordered in 2016. Delivered by 2021. 2nd batch for 100 units ordered in December 2024. Over 300 more units planned. Ordered from South Korea's Hanwha Defense and assembled by India's Larsen & Toubro.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,6,2,2026-09-15T04:05:32Z,Towed howitzers,Towed howitzers,Towed howitzers,Towed howitzers,Towed howitzers,Towed howitzers
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,6,3,2026-09-15T04:05:32Z,BAE Systems M777,,Ultra-lightweight howitzer 155 mm L/39,145,United Kingdom India,Status: In service. Total 145 ordered. Assembled in India by Mahindra Defense
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,6,4,2026-09-15T04:05:32Z,Amogh,,Towed howitzer 155 mm L/52,,India,Status: 307 guns on order.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,6,5,2026-09-15T04:05:32Z,Dhanush,,Towed howitzer 155 mm L/45,>36,India,Status: In service. 114 guns on order. Order may increase to 414.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,6,6,2026-09-15T04:05:32Z,Haubits FH77 B02,,Towed howitzer 155 mm L/45,~300,Sweden,"Status: In service. To be replaced by end of 2025 with OFB Dhanush howitzer. Gun made by Bofors. 410 howitzers acquired from 1986 to 1991, roughly 300 remain in service."
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,6,7,2026-09-15T04:05:32Z,D-30,,Towed howitzer 122 mm L/38,520,Soviet Union,Status: In service.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,6,8,2026-09-15T04:05:32Z,M-46 Soltam,,Towed howitzer 155 mm L/45,180,Soviet Union Israel,Status: in service. 180 units upgraded to 155 mm standard by Soltam. Upgunned 130 mm M-46
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,6,9,2026-09-15T04:05:32Z,IOB Sharang,,Towed howitzer 155 mm L/45,159,Soviet Union India,Status: In service. 300 on order Upgunned 130 mm M-46. Further induction halted in Sept 25 after defects were found.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,6,10,2026-09-15T04:05:32Z,Field guns,Field guns,Field guns,Field guns,Field guns,Field guns
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,6,11,2026-09-15T04:05:32Z,OFB Indian Field Gun Mk 1/2/3,,Field gun 105 mm L/22,"2,400",India,Status: In service.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,6,12,2026-09-15T04:05:32Z,M-46,,Field gun 130 mm L/55,"<1,000",India Soviet Union,"Status: in service. 180 upgraded to 155 mm standard by Soltam in 2008. 300 M-46 guns being upgraded by OFB to 155 mm/45 calibre ""Sharang"" guns."
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,6,13,2026-09-15T04:05:32Z,Static artillery,Static artillery,Static artillery,Static artillery,Static artillery,Static artillery
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,6,14,2026-09-15T04:05:32Z,Vijayanta MBT,,105 mm Gun turret fortification,200[citation needed],India United Kingdom,"Status: In service. 105 mm Gun, used as static defence on LOC."
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,6,15,2026-09-15T04:05:32Z,T-55 MBT,,105 mm Gun turret fortification,Up to 700,India Soviet Union,"Status: In service. 105 mm Gun, used as static defence on LOC."
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,6,16,2026-09-15T04:05:32Z,Future procurements or currently under trials,Future procurements or currently under trials,Future procurements or currently under trials,Future procurements or currently under trials,Future procurements or currently under trials,Future procurements or currently under trials
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,6,17,2026-09-15T04:05:32Z,—,IFG Mk2 SPH prototype,Wheeled self-propelled howitzer 105 mm L/37,200,India,RFP in November 2023 Potential guns: IFG Mk2 SPH (6×6 truck) Garuda 105 (4×4 truck) Garuda 105 V2 (4×4 AFV)
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,6,18,2026-09-15T04:05:32Z,Towed Gun System (TGS),—,Towed howitzer 155 mm L/52,1st order: 400 Total: 1200,India,Future mainstay gun of the Indian Army artillery. Procurement of 400 guns cleared by Ministry of Defence. Tender for 400 guns and towing vehicles issued.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,6,19,2026-09-15T04:05:32Z,Mounted Gun System (MGS),,Wheeled self-propelled howitzer 155 mm L/52,814,India,"Prototypes based on the Dhanush, the ATAGS exist. Foreign proposals based on the CAESAr, the ATMOS 2000, Archer."
