source_key,source_url,source_table,source_row,retrieved_at,Name | Long range (100 km and above),Variant | Long range (100 km and above),Quantity | Long range (100 km and above),Origin | Long range (100 km and above),Notes | Long range (100 km and above)
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,18,1,2026-09-15T03:49:19Z,Harop,,,Israel,
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,18,2,2026-09-15T03:49:19Z,Berkut-BM,,,Belarus,Several dozens bought as per reports.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,18,3,2026-09-15T03:49:19Z,Harpy,,,Israel,
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,18,4,2026-09-15T03:49:19Z,SkyStriker,,100,Israel India,Manufactured by Adani Group's Alpha Design Technologies.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,18,5,2026-09-15T03:49:19Z,TASL ALS Mk-II,,,India,Status: On order. Quantity: 54 systems and 540 munitions. Range: <100 km. Contract signed in August 2026 with deliveries within a year. User: Shaktibaan regiments and Divyastra batteries.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,18,6,2026-09-15T03:49:19Z,NIBE Vayu Astra-1,,,India,Status: On order. Quantity: 30 systems and 300 munitions. Range: <100 km. Contract signed in August 2026 with deliveries within a year. User: Shaktibaan regiments and Divyastra batteries.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,18,7,2026-09-15T03:49:19Z,Medium range (10 km to 50 km),Medium range (10 km to 50 km),Medium range (10 km to 50 km),Medium range (10 km to 50 km),Medium range (10 km to 50 km)
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,18,8,2026-09-15T03:49:19Z,Warmate,,>100,Poland,
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,18,9,2026-09-15T03:49:19Z,"Nagastra-1 (Mk 1, Mk 1R)",,480,India,
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,18,10,2026-09-15T03:49:19Z,Short range (less than 10 km),Short range (less than 10 km),Short range (less than 10 km),Short range (less than 10 km),Short range (less than 10 km)
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,18,11,2026-09-15T03:49:19Z,Johnnette JM-1,,>150,India,
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,18,12,2026-09-15T03:49:19Z,L-Spike 1x,,200,Israel,
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,18,13,2026-09-15T03:49:19Z,Hoverbee,,,India,
