source_key,source_url,source_table,source_row,retrieved_at,Name,Type,Caliber,Origin,Notes
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,1,1,2026-09-15T03:49:19Z,Pistol Auto 9mm 1A,Semi-automatic pistol,9mm Parabellum,Canada India,Standard issue side-arm of the Indian Army. Licensed copy of the Canadian Inglis 9mm pistol.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,1,2,2026-09-15T03:49:19Z,Glock 17,Semi-automatic pistol,9×19mm Parabellum,Austria,Standard issue Special Forces pistol.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,1,3,2026-09-15T03:49:19Z,SAF Carbine 1A,Sub-machine gun,9mm Parabellum,India United Kingdom,Indian made Sterling L2A1 SMG. To be replaced by the MSMC.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,1,4,2026-09-15T03:49:19Z,SAF Carbine 2A1,Sub-machine gun,9mm Parabellum,India United Kingdom,Silenced Carbine. To be replaced by the MSMC.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,1,5,2026-09-15T03:49:19Z,Micro-Uzi,Sub-machine gun,9mm Parabellum,Israel,For use by Special Forces. Micro-Uzi variant used.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,1,6,2026-09-15T03:49:19Z,1B1 INSAS,Assault rifle,5.56mm NATO,India,Standard issue weapon of the Indian Army. Replaced the 1A SLR. Folding 1B2 and fixed butt 1B1 variants used. Insas AR with full-auto selector lever along with the burst lever and black polymer furniture also being procured. Manufactured at Ordnance Factory Tiruchirappalli.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,1,7,2026-09-15T03:49:19Z,OFB 1A1 RiflesOFB 1C Rifles,Battle rifle,7.62×51mm NATO,India Error creating thumbnail: Belgium,Was the standard issue rifle of the Indian army and manufactured at Ordnance Factory Tiruchirappalli. Now being replaced by the INSAS. 1C full automatic variant used by mechanised infantry battalions as a firing port weapon on the BMP-2S Sarath Infantry fighting vehicle.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,1,8,2026-09-15T03:49:19Z,Ishapore 2A1 rifle,Reserve Weapon,7.62mm NATO,India,Most were phased out from service. Some retained for ceremonial purposes.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,1,9,2026-09-15T03:49:19Z,AKM,Assault rifle,7.62x39mm,Soviet Union Poland,AKM fixed stock and AKMS under-folding stock variants used.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,1,10,2026-09-15T03:49:19Z,Arsenal Co. AR,Assault rifle,7.62x39mm,Bulgaria,"Bulgarian produced AK-47. Imported for police and paramilitary forces, used in some quantities by Army as well. AR fixed stock and AR-F under-folding stock variants used."
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,1,11,2026-09-15T03:49:19Z,MPi-KM,Assault rifle,7.62x39mm,East Germany,East German produced AKM.MPi-KM-72 fixed stock and MPi-KMS-72 side-folding stock variants used.Both bakelite and wooden lower handguard variants used.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,1,12,2026-09-15T03:49:19Z,Pistol Mitralieră model 1990,Assault rifle,7.62x39mm,Romania,Romanian version of the AKM. Palmswell lower handguard versions in use.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,1,13,2026-09-15T03:49:19Z,AK-103,Assault rifle,7.62x39mm,Russia,
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,1,14,2026-09-15T03:49:19Z,Vz. 58,Assault rifle,7.62x39mm,Czechoslovakia,Vz. 58 P fixed stock and Vz. 58 V side-folding stock variants used.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,1,15,2026-09-15T03:49:19Z,IMI Tavor TAR-21,Assault rifle,5.56mm NATO,Israel,3070 purchased for the Special Forces from Israel
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,1,16,2026-09-15T03:49:19Z,M4A1 Carbine,Carbine,5.56mm NATO,United States,Bought under foreign military sales. For use by Indian Army Special Forces.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,1,17,2026-09-15T03:49:19Z,Dragunov SVD59,Sniper rifle,7.62x54mmR,Soviet Union India,Standard sniper rifle.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,1,18,2026-09-15T03:49:19Z,IMI Galil 7.62 Sniper,Sniper Rifle,7.62mm NATO,Israel,For use by Indian Army Special Forces.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,1,19,2026-09-15T03:49:19Z,Mauser SP66,Sniper rifle,7.62mm NATO,Germany,Standard bolt-action sniper rifle.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,1,20,2026-09-15T03:49:19Z,Denel NTW-20,Anti-material rifle,20x82mm and 20x110mm Hispano-Suiza,South Africa,Bought in small numbers.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,1,21,2026-09-15T03:49:19Z,INSAS LMG,Light machine gun,5.56mm NATO,India,Light machine gun derivative of the INSAS assault rifle. Both fixed and folding butt variants used. Newer INSAS LMG with black polymer furniture being procured. Manufactured at Ordnance Factory Tiruchirappalli.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,1,22,2026-09-15T03:49:19Z,MG 1B,Light machine gun,7.62mm NATO,India,Indian made Bren.Currently being withdrawn from service.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,1,23,2026-09-15T03:49:19Z,MG 2A1MG 5AMG 6A,General purpose machine gun,7.62mm NATO,Error creating thumbnail: Belgium India,Indian made MAG 58. Also in service as the MG 5A (Co-axial) and MG 6A (Commander's gun) with some armoured vehicles.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,1,24,2026-09-15T03:49:19Z,PKM,General purpose machine gun,7.62x54mm,Soviet Union,"PK machine guns used as co-axial weapons in Russian produced T-90S Bhishma, T-72M Ajeya and BMP-2S Sarath and used as general purpose machine gun. Also used by Special Forces as section LMG. Manufactured at Ordnance Factory Tiruchirappalli."
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,1,25,2026-09-15T03:49:19Z,M2 Browning,Heavy machine gun,.50 BMG,United States,
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,1,26,2026-09-15T03:49:19Z,NSV,Heavy machine gun,12.7×108mm,Soviet Union,
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,1,27,2026-09-15T03:49:19Z,KPV,Heavy machine gun,14.5×114mm,Soviet Union,
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,1,28,2026-09-15T03:49:19Z,Pistol Auto 9mm 1AAK-103INSAS rifleINSAS LMGMG 1BMG 2A1PKMM2 HMGNSVKPV,Pistol Auto 9mm 1AAK-103INSAS rifleINSAS LMGMG 1BMG 2A1PKMM2 HMGNSVKPV,Pistol Auto 9mm 1AAK-103INSAS rifleINSAS LMGMG 1BMG 2A1PKMM2 HMGNSVKPV,Pistol Auto 9mm 1AAK-103INSAS rifleINSAS LMGMG 1BMG 2A1PKMM2 HMGNSVKPV,Pistol Auto 9mm 1AAK-103INSAS rifleINSAS LMGMG 1BMG 2A1PKMM2 HMGNSVKPV
