source_key,source_url,source_table,source_row,retrieved_at,Name | Introduced into service before 1947,Origin | Introduced into service before 1947,Primary role(s) | Introduced into service before 1947,Introduced | Introduced into service before 1947,Retired | Introduced into service before 1947,Count | Introduced into service before 1947,Notes | Introduced into service before 1947
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,1,2026-09-15T03:49:19Z,Westland Wapiti,United Kingdom,Liaison,1933,1942,28,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,2,2026-09-15T03:49:19Z,Armstrong Whitworth Atalanta,United Kingdom,Transport,1941,1944,5,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,3,2026-09-15T03:49:19Z,Avro Anson I,United Kingdom,Basic trainer,1942,1945,7,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,4,2026-09-15T03:49:19Z,Boulton Paul Defiant TT.III,United Kingdom,Target tug,1944,1945,?,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,5,2026-09-15T03:49:19Z,Bristol Blenheim I,United Kingdom,Bomber,1941,1942,5,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,6,2026-09-15T03:49:19Z,de Havilland D.H.86B,United Kingdom,Transport,1940,1942,2,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,7,2026-09-15T03:49:19Z,de Havilland Dragon Rapide,United Kingdom,Transport,1941,1945,4,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,8,2026-09-15T03:49:19Z,de Havilland Tiger Moth,United Kingdom,Basic trainer,1939,1957,192,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,9,2026-09-15T03:49:19Z,Douglas Dakota,United States,Transport,1944,1987,206,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,10,2026-09-15T03:49:19Z,Fairchild PT-19,United States,Basic trainer,1943,1946,40,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,11,2026-09-15T03:49:19Z,Harlow PC-5A,United States,Transport,1941,1942,4,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,12,2026-09-15T03:49:19Z,Hawker Audax,United Kingdom,Liaison,1939,1945,7,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,13,2026-09-15T03:49:19Z,Hawker Hart,United Kingdom,Bomber,1939,1942,7,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,14,2026-09-15T03:49:19Z,Hawker Hind,United Kingdom,Bomber,1939,1941,6,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,15,2026-09-15T03:49:19Z,Hawker Hurricane,United Kingdom,Fighter-bomber,1942,1945,?,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,16,2026-09-15T03:49:19Z,North American Harvard Mk.II and 4,Canada,Basic trainer,1942,1973,?,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,17,2026-09-15T03:49:19Z,Supermarine Spitfire Vc & VIIIc,United Kingdom,Fighter/Reconnaissance,1943,1948,19,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,18,2026-09-15T03:49:19Z,Vickers Valentia,United Kingdom,Transport,1942,1944,1,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,19,2026-09-15T03:49:19Z,Vultee Vengeance,United States,Bomber,1942,1945,35,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,20,2026-09-15T03:49:19Z,Westland Lysander II,United Kingdom,Liaison,1941,1943,25,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,21,2026-09-15T03:49:19Z,Westland Lysander III.T,United Kingdom,Target tug,1941,1942,48,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,22,2026-09-15T03:49:19Z,Airspeed Oxford,United Kingdom,Transport,1946,1949,5,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,23,2026-09-15T03:49:19Z,Auster AOP.6,United Kingdom,Liaison,1946,1970,20,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,24,2026-09-15T03:49:19Z,Hawker Tempest II,United Kingdom,Fighter,1945,1955,235,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,25,2026-09-15T03:49:19Z,Supermarine Spitfire FR.XIVE & FR.XVIII,United Kingdom,Fighter/Reconnaissance,1945,1957,120,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,26,2026-09-15T03:49:19Z,Introduced into service between 1947 and 1970,Introduced into service between 1947 and 1970,Introduced into service between 1947 and 1970,Introduced into service between 1947 and 1970,Introduced into service between 1947 and 1970,Introduced into service between 1947 and 1970,Introduced into service between 1947 and 1970
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,27,2026-09-15T03:49:19Z,Aero Ae-45,Czechoslovakia,Transport,1955,1957,1,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,28,2026-09-15T03:49:19Z,Antonov An-12,Soviet Union,Transport,1961,1993,65,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,29,2026-09-15T03:49:19Z,Auster AOP.9,United Kingdom,Liaison,1955,1981,35,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,30,2026-09-15T03:49:19Z,Bell 47G-2,United States,Helicopter,1957,1979,15,
