source_key,source_url,source_table,source_row,retrieved_at,Family,Name,Type,Designer,Guidance,Range,Speed,Warhead,Intr.,Status,Image,Ref.
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,4,1,2026-09-15T04:05:32Z,ULPGM,V1,ASM,DRDO,IIR homing,2 km (1.2 mi),,2 kg (4.4 lb),,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,4,2,2026-09-15T04:05:32Z,ULPGM,V2,ASM,DRDO,two-way datalink EO sensor,6 km (3.7 mi),,,,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,4,3,2026-09-15T04:05:32Z,ULPGM,ULM-ER,ASM,DRDO,Multiple,10 km (6.2 mi),,,,In development,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,4,4,2026-09-15T04:05:32Z,Kh-59 Ovod,Kh-59ME,ASM,MKB Raduga,INS Active radar homing,200 km (120 mi),Mach 0.88,Conventional Pre-fragmented,2002,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,4,5,2026-09-15T04:05:32Z,Popeye,Popeye,ASM,Rafael,INS Infrared homing,78 km (48 mi),,Conventional Pre-fragmented 340 kg,2006,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,4,6,2026-09-15T04:05:32Z,BrahMos,BrahMos A,Supersonic ALCM,NPO Mashinostroyeniya DRDO,INS + Sat Nav Active radar homing,450 km (280 mi),Mach 3,Conventional or Nuclear Armour-piercing 300 kg,2019,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,4,7,2026-09-15T04:05:32Z,SCALP-EG,SCALP-EG,ASM,MBDA,"INS, GPS, TERPROM",550 km (340 mi),Mach 0.95,BROACH 550 kg,2022,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,4,8,2026-09-15T04:05:32Z,AASM Hammer,AASM Hammer,ASM,Safran,"INS, GPS",70 km (43 mi),,General-purpose bomb 250 kg,2023,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,4,9,2026-09-15T04:05:32Z,Rudram,Rudram-1,Air to surface ARM,DRDO,INS Active radar homing,150 km (93 mi),Mach 2,Conventional Pre-fragmented 55 kg,TBD,In development,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,4,10,2026-09-15T04:05:32Z,Rudram,Rudram-2,Air to surface ARM,DRDO,INS SatNav IIR homing,350 km (220 mi),Mach 5.5,Conventional Pre-fragmented 155 kg / Bunker buster,TBD,In development,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,4,11,2026-09-15T04:05:32Z,Rudram,Rudram-3,Air to surface ARM,DRDO,,550 km (340 mi),,Bunker buster,TBD,In development,,
