source_key,source_url,source_table,source_row,retrieved_at,Family,Name,Type,Designer,Guidance,Range,Alitude,Speed,Warhead,Intr.,Status,Image,Ref.
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,5,1,2026-09-15T04:05:32Z,Trishul,Trishul,Short range SAM,DRDO,Command to line-of-sight,11 km (6.8 mi),,Mach 2,High-explosive Pre-fragmented 15 kg,1983,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,5,2,2026-09-15T04:05:32Z,S-125 Neva/Pechora,V601,Short range SAM,JSC Defense Systems,Command to line-of-sight,35 km (22 mi),18 km (11 mi),Mach 3,High-explosive Pre-fragmented 60 kg,1987,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,5,3,2026-09-15T04:05:32Z,Seacat,Seacat,Short range SAM,Short Brothers,Command to line-of-sight,5 km (3.1 mi),,Mach 0.8,Continuous rod,1987,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,5,4,2026-09-15T04:05:32Z,9K33 Osa,9M33,Short range SAM,Znamya Truda Plant,Command to line-of-sight,15 km (9.3 mi),12 km (7.5 mi),Mach 2.9,High-explosive Pre-fragmented 15 kg,1990,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,5,5,2026-09-15T04:05:32Z,9K35 Strela-10,9M37,Short range SAM,KB Tochmash,Command to line-of-sight,5 km (3.1 mi),3.5 km (2.2 mi),Mach 0.5,High-explosive Pre-fragmented 5 kg,1990,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,5,6,2026-09-15T04:05:32Z,2K22 Tunguska,9M311,Short range SAM,KBP,Command to line-of-sight,9 km (5.6 mi),3.5 km (2.2 mi),Mach 1,Continuous rod 9 kg,1999,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,5,7,2026-09-15T04:05:32Z,Buk,9M38,Short range SAM,Almaz-Antey,Command to line-of-sight,30 km (19 mi),20 km (12 mi),Mach 3,High-explosive Pre-fragmented,2001,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,5,8,2026-09-15T04:05:32Z,Buk,9M317,Short range SAM,Almaz-Antey,Command to line-of-sight,50 km (31 mi),25 km (16 mi),Mach 4,High-explosive Pre-fragmented 62 kg,2013,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,5,9,2026-09-15T04:05:32Z,Barak 1,Barak 1,Short range SAM,IAI Rafael,Command to line-of-sight,12 km (7.5 mi),5.5 km (3.4 mi),Mach 2.1,High-explosive Pre-fragmented 22 kg,2004,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,5,10,2026-09-15T04:05:32Z,Akash,Akash Mk I,Medium range SAM,DRDO,Command guidance Active radar homing,30 km (19 mi),18 km (11 mi),Mach 3,High-explosive Pre-fragmented 60 kg,2009,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,5,11,2026-09-15T04:05:32Z,Akash,Akash Mk II,Medium range SAM,DRDO,Command guidance Active radar homing,40 km (25 mi),20 km (12 mi),Mach 3,High-explosive Pre-fragmented 60 kg,TBD,In development,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,5,12,2026-09-15T04:05:32Z,Akash,Akash-NG,Medium range SAM,DRDO,Command guidance Active radar homing,70 km (43 mi),20 km (12 mi),Mach 3,High-explosive Pre-fragmented 60 kg,TBD,In development,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,5,13,2026-09-15T04:05:32Z,Barak 8,MR-SAM,Medium range SAM,| IAI DRDO,INS Active radar homing,70 km (43 mi),16 km (9.9 mi),Mach 2,Kinetic kill vehicle 60 kg,2020,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,5,14,2026-09-15T04:05:32Z,Barak 8,LR-SAM,Long range SAM,| IAI DRDO,INS Active radar homing,100 km (62 mi),20 km (12 mi),Mach 3+,Kinetic kill vehicle 60 kg,2019,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,5,15,2026-09-15T04:05:32Z,Barak 8,ER-SAM,Extended range SAM,| IAI DRDO,INS Active radar homing,150 km (93 mi),30 km (19 mi),Mach 3+,Kinetic kill vehicle 60 kg,,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,5,16,2026-09-15T04:05:32Z,QRSAM,QRSAM,Quick reaction SAM,DRDO,INS with Datalink Active radar homing,30 km (19 mi),14 km (8.7 mi),Mach 4.7,High-explosive Pre-fragmented 32 kg,2022,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,5,17,2026-09-15T04:05:32Z,VL-SRSAM,VL-SRSAM,Short range SAM,DRDO,Fibre-optic gyro based INS Active radar homing,50 km (31 mi),16 km (9.9 mi),Mach 4.5,High-explosive Pre-fragmented,2022,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,5,18,2026-09-15T04:05:32Z,SAMAR,SAMAR I,Short range SAM,DRDO,Infrared homing,12 km (7.5 mi),,Mach 2.5,High-explosive Pre-fragmented,2024,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,5,19,2026-09-15T04:05:32Z,SAMAR,SAMAR II,Short range SAM,DRDO,Semi-active radar homing,20 km (12 mi),,Mach 2.5,High-explosive Pre-fragmented,TBD,In development,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,5,20,2026-09-15T04:05:32Z,S-400,S-400,Mobile long-range SAM,Almaz-Antey,Semi-active radar homing,380 km (240 mi),40 km (25 mi),Mach 14,High-explosive Pre-fragmented,2021,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,5,21,2026-09-15T04:05:32Z,9K38 Igla,Igla-1,Man-portable SAM,NPO Mashinostroyeniya,Infrared homing,5 km (3.1 mi),3.5 km (2.2 mi),Mach 1.7-1.8,High-explosive Pre-fragmented 1.17 kg,1991,In service,,
