source_key,source_url,source_table,source_row,retrieved_at,Nuclear ballistic missile submarine (3) | Class,Nuclear ballistic missile submarine (3) | Image,Nuclear ballistic missile submarine (3) | Boat,Nuclear ballistic missile submarine (3) | No.,Nuclear ballistic missile submarine (3) | Disp. (t),Nuclear ballistic missile submarine (3) | Comm.,Nuclear ballistic missile submarine (3) | Origin,Nuclear ballistic missile submarine (3) | Homeport,Nuclear ballistic missile submarine (3) | Note
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,2,1,2026-09-15T04:05:32Z,Arihant class,,INS Arihant,S2,6000,2016,India,Visakhapatnam,First ever indigenously-built class of nuclear ballistic missile submarines.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,2,2,2026-09-15T04:05:32Z,Arihant class,,INS Arighaat,S3,6000,2024,India,Visakhapatnam,First ever indigenously-built class of nuclear ballistic missile submarines.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,2,3,2026-09-15T04:05:32Z,Arihant class,,INS Aridhaman,S4,7000,2026,India,Visakhapatnam,First ever indigenously-built class of nuclear ballistic missile submarines.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,2,4,2026-09-15T04:05:32Z,Attack submarine (16),Attack submarine (16),Attack submarine (16),Attack submarine (16),Attack submarine (16),Attack submarine (16),Attack submarine (16),Attack submarine (16),Attack submarine (16)
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,2,5,2026-09-15T04:05:32Z,Class,Image,Boat,No.,Disp. (t),Comm.,Origin,Homeport,Note
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,2,6,2026-09-15T04:05:32Z,Kalvari class,,INS Kalvari,S21,1800,2017,France India,Mumbai,Indian-specific variant of the Scorpène-class submarine.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,2,7,2026-09-15T04:05:32Z,Kalvari class,,INS Khanderi,S22,1800,2019,France India,Karwar,Indian-specific variant of the Scorpène-class submarine.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,2,8,2026-09-15T04:05:32Z,Kalvari class,,INS Karanj,S23,1800,2021,France India,Karwar,Indian-specific variant of the Scorpène-class submarine.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,2,9,2026-09-15T04:05:32Z,Kalvari class,,INS Vela,S24,1800,2021,France India,Mumbai,Indian-specific variant of the Scorpène-class submarine.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,2,10,2026-09-15T04:05:32Z,Kalvari class,,INS Vagir,S25,1800,2023,France India,Mumbai,Indian-specific variant of the Scorpène-class submarine.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,2,11,2026-09-15T04:05:32Z,Kalvari class,,INS Vagsheer,S26,1800,2025,France India,Mumbai,Indian-specific variant of the Scorpène-class submarine.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,2,12,2026-09-15T04:05:32Z,Sindhughosh class,,INS Sindhuraj,S57,3076,1987,Soviet Union Russia,Mumbai,Indian-specific variant of the Kilo-class submarine (P.877).
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,2,13,2026-09-15T04:05:32Z,Sindhughosh class,,INS Sindhuratna,S59,3076,1988,Soviet Union Russia,Mumbai,Indian-specific variant of the Kilo-class submarine (P.877).
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,2,14,2026-09-15T04:05:32Z,Sindhughosh class,,INS Sindhukesari,S60,3076,1988,Soviet Union Russia,Visakhapatnam,Indian-specific variant of the Kilo-class submarine (P.877).
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,2,15,2026-09-15T04:05:32Z,Sindhughosh class,,INS Sindhukirti,S61,3076,1989,Soviet Union Russia,Visakhapatnam,Indian-specific variant of the Kilo-class submarine (P.877).
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,2,16,2026-09-15T04:05:32Z,Sindhughosh class,,INS Sindhuvijay,S62,3076,1991,Soviet Union Russia,Visakhapatnam,Indian-specific variant of the Kilo-class submarine (P.877).
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,2,17,2026-09-15T04:05:32Z,Sindhughosh class,,INS Sindhurashtra,S65,3076,2000,Soviet Union Russia,Visakhapatnam,Indian-specific variant of the Kilo-class submarine (P.877).
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,2,18,2026-09-15T04:05:32Z,Shishumar class,,INS Shishumar,S44,1850,1986,West Germany India,Mumbai,Indian-specific variant of the Type 209/1500 submarine.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,2,19,2026-09-15T04:05:32Z,Shishumar class,,INS Shankush,S45,1850,1986,West Germany India,Mumbai,Indian-specific variant of the Type 209/1500 submarine.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,2,20,2026-09-15T04:05:32Z,Shishumar class,,INS Shalki,S46,1850,1992,West Germany India,Mumbai,Indian-specific variant of the Type 209/1500 submarine.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,2,21,2026-09-15T04:05:32Z,Shishumar class,,INS Shankul,S47,1850,1994,West Germany India,Mumbai,Indian-specific variant of the Type 209/1500 submarine.
