source_key,source_url,source_table,source_row,retrieved_at,Amphibious transport dock (1) | Class,Amphibious transport dock (1) | Image,Amphibious transport dock (1) | Boat,Amphibious transport dock (1) | No.,Amphibious transport dock (1) | Disp. (t),Amphibious transport dock (1) | Comm.,Amphibious transport dock (1) | Origin,Amphibious transport dock (1) | Homeport,Amphibious transport dock (1) | Note
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,4,1,2026-09-15T04:05:32Z,Austin class,,INS Jalashwa,L41,16590,2007,United States,Visakhapatnam,Ex-USS Trenton; refurbished and sold to India in 2007.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,4,2,2026-09-15T04:05:32Z,Landing Ship Tank (4),Landing Ship Tank (4),Landing Ship Tank (4),Landing Ship Tank (4),Landing Ship Tank (4),Landing Ship Tank (4),Landing Ship Tank (4),Landing Ship Tank (4),Landing Ship Tank (4)
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,4,3,2026-09-15T04:05:32Z,Class,Image,Boat,No.,Disp. (t),Comm.,Origin,Homeport,Note
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,4,4,2026-09-15T04:05:32Z,Shardul class,,INS Shardul,L16,5650,2007,India,Kochi,Follow-on of the Magar Class Landing Ship Tanks .
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,4,5,2026-09-15T04:05:32Z,Shardul class,,INS Kesari,L15,5650,2008,India,Sri Vijaya Puram,Follow-on of the Magar Class Landing Ship Tanks .
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,4,6,2026-09-15T04:05:32Z,Shardul class,,INS Airavat,L24,5650,2009,India,Visakhapatnam,Follow-on of the Magar Class Landing Ship Tanks .
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,4,7,2026-09-15T04:05:32Z,Magar class,,INS Gharial,L23,5665,1997,India,Visakhapatnam,
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,4,8,2026-09-15T04:05:32Z,Landing Craft Utility (8),Landing Craft Utility (8),Landing Craft Utility (8),Landing Craft Utility (8),Landing Craft Utility (8),Landing Craft Utility (8),Landing Craft Utility (8),Landing Craft Utility (8),Landing Craft Utility (8)
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,4,9,2026-09-15T04:05:32Z,Class,Image,Boat,No.,Disp. (t),Comm.,Origin,Homeport,Note
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,4,10,2026-09-15T04:05:32Z,Mk. IV LCU,,INS LCU 51,L51,830,2017,India,Sri Vijaya Puram,Follow-on of the Mk. III LCU class.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,4,11,2026-09-15T04:05:32Z,Mk. IV LCU,,INS LCU 52,L52,830,2017,India,Sri Vijaya Puram,Follow-on of the Mk. III LCU class.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,4,12,2026-09-15T04:05:32Z,Mk. IV LCU,,INS LCU 53,L53,830,2018,India,Sri Vijaya Puram,Follow-on of the Mk. III LCU class.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,4,13,2026-09-15T04:05:32Z,Mk. IV LCU,,INS LCU 54,L54,830,2018,India,Sri Vijaya Puram,Follow-on of the Mk. III LCU class.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,4,14,2026-09-15T04:05:32Z,Mk. IV LCU,,INS LCU 55,L55,830,2018,India,Sri Vijaya Puram,Follow-on of the Mk. III LCU class.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,4,15,2026-09-15T04:05:32Z,Mk. IV LCU,,INS LCU 56,L56,830,2019,India,Sri Vijaya Puram,Follow-on of the Mk. III LCU class.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,4,16,2026-09-15T04:05:32Z,Mk. IV LCU,,INS LCU 57,L57,830,2020,India,Sri Vijaya Puram,Follow-on of the Mk. III LCU class.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,4,17,2026-09-15T04:05:32Z,Mk. IV LCU,,INS LCU 58,L58,830,2021,India,Sri Vijaya Puram,Follow-on of the Mk. III LCU class.
