source_key,source_url,source_table,source_row,retrieved_at,Frigate (20) | Class,Frigate (20) | Image,Frigate (20) | Boat,Frigate (20) | No.,Frigate (20) | Disp. (t),Frigate (20) | Comm.,Frigate (20) | Origin,Frigate (20) | Homeport,Frigate (20) | Note
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,6,1,2026-09-15T03:49:19Z,Nilgiri class,,INS Nilgiri,F33,6670,2025,India,Visakhapatnam,Upgraded derivative of Shivalik class frigates.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,6,2,2026-09-15T03:49:19Z,Nilgiri class,,INS Himgiri,F34,6670,2025,India,Visakhapatnam,Upgraded derivative of Shivalik class frigates.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,6,3,2026-09-15T03:49:19Z,Nilgiri class,,INS Udaygiri,F35,6670,2025,India,Visakhapatnam,Upgraded derivative of Shivalik class frigates.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,6,4,2026-09-15T03:49:19Z,Nilgiri class,,INS Taragiri,F41,6670,2026,India,Visakhapatnam,Upgraded derivative of Shivalik class frigates.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,6,5,2026-09-15T03:49:19Z,Nilgiri class,,INS Dunagiri,F36,6670,2026,India,Visakhapatnam,Upgraded derivative of Shivalik class frigates.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,6,6,2026-09-15T03:49:19Z,Nilgiri class,,INS Mahendragiri,F38,6670,2026,India,Visakhapatnam,Upgraded derivative of Shivalik class frigates.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,6,7,2026-09-15T03:49:19Z,Shivalik class,,INS Shivalik,F47,6200,2010,India,Visakhapatnam,Indigenously-built frigates with low observability.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,6,8,2026-09-15T03:49:19Z,Shivalik class,,INS Satpura,F48,6200,2011,India,Visakhapatnam,Indigenously-built frigates with low observability.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,6,9,2026-09-15T03:49:19Z,Shivalik class,,INS Sahyadri,F49,6200,2012,India,Visakhapatnam,Indigenously-built frigates with low observability.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,6,10,2026-09-15T03:49:19Z,Talwar class,,INS Talwar,F40,4035,2003,Russia,Mumbai,Improved derivative of the Krivak-III frigate.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,6,11,2026-09-15T03:49:19Z,Talwar class,,INS Trishul,F43,4035,2003,Russia,Mumbai,Improved derivative of the Krivak-III frigate.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,6,12,2026-09-15T03:49:19Z,Talwar class,,INS Tabar,F44,4035,2004,Russia,Mumbai,Improved derivative of the Krivak-III frigate.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,6,13,2026-09-15T03:49:19Z,Talwar class,,INS Teg,F45,4035,2012,Russia,Mumbai,Improved derivative of the Krivak-III frigate.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,6,14,2026-09-15T03:49:19Z,Talwar class,,INS Tarkash,F50,4035,2012,Russia,Mumbai,Improved derivative of the Krivak-III frigate.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,6,15,2026-09-15T03:49:19Z,Talwar class,,INS Trikand,F51,4035,2013,Russia,Mumbai,Improved derivative of the Krivak-III frigate.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,6,16,2026-09-15T03:49:19Z,Talwar class,,INS Tushil,F70,4035,2024,Russia,Karwar,Improved derivative of the Krivak-III frigate.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,6,17,2026-09-15T03:49:19Z,Talwar class,,INS Tamal,F71,4035,2025,Russia,Karwar,Improved derivative of the Krivak-III frigate.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,6,18,2026-09-15T03:49:19Z,Brahmaputra class,,INS Brahmaputra,F31,3850,2000,India,Mumbai,Upgraded derivative of the Godavari class.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,6,19,2026-09-15T03:49:19Z,Brahmaputra class,,INS Betwa,F39,3850,2004,India,Mumbai,Upgraded derivative of the Godavari class.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,6,20,2026-09-15T03:49:19Z,Brahmaputra class,,INS Beas,F37,3850,2005,India,Mumbai,Upgraded derivative of the Godavari class.
