source_key,source_url,source_table,source_row,retrieved_at,Survey vessel (10) | Class,Survey vessel (10) | Image,Survey vessel (10) | Ship,Survey vessel (10) | No.,Survey vessel (10) | Disp. (t),Survey vessel (10) | Comm.,Survey vessel (10) | Origin,Survey vessel (10) | Note
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,11,1,2026-09-15T03:49:19Z,Sandhayak-class (2023),,INS Sandhayak,J18,3300,2024,India,Will replace the older Sandhayak class.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,11,2,2026-09-15T03:49:19Z,Sandhayak-class (2023),,INS Nirdeshak,J19,3300,2024,India,Will replace the older Sandhayak class.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,11,3,2026-09-15T03:49:19Z,Sandhayak-class (2023),,INS Ikshak,J23,3300,2025,India,Will replace the older Sandhayak class.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,11,4,2026-09-15T03:49:19Z,Sandhayak-class (2023),,INS Sanshodhak,J24,3300,2026,India,Will replace the older Sandhayak class.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,11,5,2026-09-15T03:49:19Z,Makar class,,INS Makar,J31,500,2012,India,First catamaran survey vessel in the IN.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,11,6,2026-09-15T03:49:19Z,Sandhayak class (1981),,INS Investigator,J15,1800,1990,India,Currently being phased out.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,11,7,2026-09-15T03:49:19Z,Sandhayak class (1981),,INS Jamuna,J16,1800,1991,India,Currently being phased out.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,11,8,2026-09-15T03:49:19Z,Sandhayak class (1981),,INS Sutlej,J17,1800,1993,India,Currently being phased out.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,11,9,2026-09-15T03:49:19Z,Sandhayak class (1981),,INS Darshak,J21,1800,2001,India,Currently being phased out.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,11,10,2026-09-15T03:49:19Z,Sandhayak class (1981),,INS Sarvekshak,J22,1800,2002,India,Currently being phased out.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,11,11,2026-09-15T03:49:19Z,Research vessel (1),Research vessel (1),Research vessel (1),Research vessel (1),Research vessel (1),Research vessel (1),Research vessel (1),Research vessel (1)
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,11,12,2026-09-15T03:49:19Z,Class,Image,Ship,No.,Disp. (t),Comm.,Origin,Note
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,11,13,2026-09-15T03:49:19Z,Sagardhwani class,,INS Sagardhwani,A74,2050,1994,India,Used for oceanographic research by the NPOL.
