source_key,source_url,source_table,source_row,retrieved_at,Tugboat (26) | Class,Tugboat (26) | Image,Tugboat (26) | Boat,Tugboat (26) | Pennant No.,Tugboat (26) | Disp. (t),Tugboat (26) | Origin,Tugboat (26) | Note
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,16,1,2026-09-15T04:05:32Z,Bhishm class,,INS Yuvan,—,—,India,25 tonne bollard pull tugs
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,16,2,2026-09-15T04:05:32Z,Bhishm class,,INS Ojas,—,—,India,25 tonne bollard pull tugs
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,16,3,2026-09-15T04:05:32Z,Gaj class,,INS Gaj,A51,560,India,—
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,16,4,2026-09-15T04:05:32Z,IRS class,—,INS Himmat,—,472,India,50 tonne bollard pull tugs
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,16,5,2026-09-15T04:05:32Z,IRS class,—,INS Dhiraj,—,472,India,50 tonne bollard pull tugs
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,16,6,2026-09-15T04:05:32Z,IRS class,—,INS Sahas,—,472,India,50 tonne bollard pull tugs
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,16,7,2026-09-15T04:05:32Z,IRS class,—,INS Veeran,—,472,India,50 tonne bollard pull tugs
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,16,8,2026-09-15T04:05:32Z,Madan Singh class,—,INS Madan Singh,—,382,India,—
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,16,9,2026-09-15T04:05:32Z,Madan Singh class,—,INS Shambhu Singh,—,382,India,—
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,16,10,2026-09-15T04:05:32Z,Bhim class,—,INS Bhim,—,373,India,—
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,16,11,2026-09-15T04:05:32Z,Bhim class,—,INS Balshil,—,373,India,—
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,16,12,2026-09-15T04:05:32Z,Bhim class,—,INS Ajral,—,373,India,—
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,16,13,2026-09-15T04:05:32Z,Nakul class,—,INS Nakul,—,373,India,—
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,16,14,2026-09-15T04:05:32Z,Nakul class,—,INS Arjun,—,373,India,—
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,16,15,2026-09-15T04:05:32Z,B.C. Dutt class,—,INS B. C. Dutt,—,355,India,—
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,16,16,2026-09-15T04:05:32Z,B.C. Dutt class,—,INS Tarafdar,—,355,India,—
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,16,17,2026-09-15T04:05:32Z,Arga class,—,INS Arga,—,239,India,—
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,16,18,2026-09-15T04:05:32Z,Arga class,—,INS Bali,—,239,India,—
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,16,19,2026-09-15T04:05:32Z,Arga class,—,INS Anup,—,239,India,—
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,16,20,2026-09-15T04:05:32Z,Arga class,—,INS 148,—,239,India,—
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,16,21,2026-09-15T04:05:32Z,Arga class,—,INS 149,—,239,India,—
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,16,22,2026-09-15T04:05:32Z,Arga class,—,INS 150,—,239,India,—
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,16,23,2026-09-15T04:05:32Z,Buland class,—,INS Buland,—,100,India,25 tonne bollard pull tugs
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,16,24,2026-09-15T04:05:32Z,Buland class,—,INS Balwan,—,100,India,25 tonne bollard pull tugs
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,16,25,2026-09-15T04:05:32Z,Buland class,—,INS Sahayak,—,100,India,25 tonne bollard pull tugs
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,16,26,2026-09-15T04:05:32Z,Sarthi class,—,INS Sarthi,—,100,India,25 tonne bollard pull tugs
