source_key,source_url,source_table,source_row,retrieved_at,Ferry (13) | Class,Ferry (13) | Image,Ferry (13) | Ship,Ferry (13) | Pennant No.,Ferry (13) | Disp. (t),Ferry (13) | Origin,Ferry (13) | Note
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,17,1,2026-09-15T04:05:32Z,Manoram class,—,INS Manoram,—,578,India,
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,17,2,2026-09-15T04:05:32Z,Manoram class,—,INS Vihar,—,578,India,
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,17,3,2026-09-15T04:05:32Z,Manoram class,—,INS Ankola,—,578,India,
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,17,4,2026-09-15T04:05:32Z,Shalimar class (50 men),—,INS Neelam,—,218,India,
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,17,5,2026-09-15T04:05:32Z,Shalimar class (50 men),—,INS Mohini,—,218,India,
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,17,6,2026-09-15T04:05:32Z,Shalimar class (50 men),—,INS,—,218,India,
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,17,7,2026-09-15T04:05:32Z,Shalimar class (250 men),—,INS Manohar,—,175,India,
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,17,8,2026-09-15T04:05:32Z,Shalimar class (250 men),—,INS,—,175,India,
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,17,9,2026-09-15T04:05:32Z,Shalimar class (250 men),—,INS Modak,—,175,India,
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,17,10,2026-09-15T04:05:32Z,Shalimar class (250 men),—,INS Mangal,—,175,India,
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,17,11,2026-09-15T04:05:32Z,Shalimar class (250 men),—,INS Madhur,—,175,India,
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,17,12,2026-09-15T04:05:32Z,Shalimar class (250 men),—,INS Manorama,—,175,India,
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,17,13,2026-09-15T04:05:32Z,Shalimar class (250 men),,INS Manjula,786,175,India,
