source_key,source_url,source_table,source_row,retrieved_at,Boat | Nuclear Submarines,Pennant | Nuclear Submarines,Class | Nuclear Submarines,Commissioned | Nuclear Submarines,Decommissioned | Nuclear Submarines,Fate | Nuclear Submarines,Notes | Nuclear Submarines
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,2,1,2026-09-15T04:05:32Z,INS Chakra,S71,Charlie class,1 September 1987,Returned to Soviet Union in January 1991,Scrapped in Russia.,Leased from the Soviet Union.
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,2,2,2026-09-15T04:05:32Z,INS Chakra,S71,Akula class,4 April 2012,Returned to Russia June 2021,,"Returned to Russia before 10-year lease completed, due to extensive damage suffered in service."
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,2,3,2026-09-15T04:05:32Z,Conventional Submarines,Conventional Submarines,Conventional Submarines,Conventional Submarines,Conventional Submarines,Conventional Submarines,Conventional Submarines
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,2,4,2026-09-15T04:05:32Z,INS Khanderi,S22,Kalvari class,6 December 1968,18 October 1989,Scrapped but sail fin on display,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,2,5,2026-09-15T04:05:32Z,INS Kalvari,S23,Kalvari class,8 December 1967,31 May 1996,Scrapped but sail fin on display,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,2,6,2026-09-15T04:05:32Z,INS Kursura,S20,Kalvari class,18 December 1969,27 September 2001,"Converted to Museum Ship at Ramakrishna Mission Beach, Visakhapatnam.",
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,2,7,2026-09-15T04:05:32Z,INS Karanj,S21,Kalvari class,4 September 1969,1 August 2003,,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,2,8,2026-09-15T04:05:32Z,INS Vagsheer,S43,Vela class,26 December 1974,30 April 1997,,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,2,9,2026-09-15T04:05:32Z,INS Vagir,S41,Vela class,3 November 1973,7 June 2001,,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,2,10,2026-09-15T04:05:32Z,INS Vela,S40,Vela class,31 August 1973,25 June 2010,,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,2,11,2026-09-15T04:05:32Z,INS Vagli,S42,Vela class,10 August 1974,9 December 2010,To be preserved as a museum in Tamil Nadu.,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,2,12,2026-09-15T04:05:32Z,INS Sindhurakshak,S63,Sindhughosh class,24 December 1997,6 March 2017,Sunk,"Exploded and sank on 14 August 2013. After being salvaged in June 2014, she was decommissioned in March 2017 and disposed of at sea that June."
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,2,13,2026-09-15T04:05:32Z,INS Sindhuvir,S58,Sindhughosh class,26 August 1988,March 2020,Transferred to Myanmar Navy,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,2,14,2026-09-15T04:05:32Z,INS Sindhudhvaj,S56,Sindhughosh class,12 June 1987,16 July 2022,Decommissioned,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,2,15,2026-09-15T04:05:32Z,INS Sindhughosh,S55,Sindhughosh class,30 April 1986,19 December 2025,Decommissioned,
