source_key,source_url,source_table,source_row,retrieved_at,Ship | Frigates,Pennant | Frigates,Class | Frigates,Commissioned | Frigates,Decommissioned | Frigates,Fate | Frigates,Notes | Frigates
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,5,1,2026-09-15T04:05:32Z,HMIS Tamar,K262,River class,1946,Dec 1946,Constructive Total Loss after running aground off Hainan Island,was previously HMS Aire prior to Indian service.
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,5,2,2026-09-15T04:05:32Z,HMIS Neza,K239,River class,1946,1947,Returned to the Royal Navy in April 1947. Scrapped 1955.,Served as HMS Test in the Royal Navy before transfer to India.
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,5,3,2026-09-15T04:05:32Z,HMIS Shamsher,K392,River class,1945,1947,Transferred to Pakistan and served as PNS Shamsher. Scrapped 1959.,Served as HMS Nadder in the Royal Navy before transfer to India.
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,5,4,2026-09-15T04:05:32Z,HMIS Dhanush,K265,River class,1945,1948,Transferred to Pakistan and served as PNS Dhanush.,Served as HMS Deveron in the Royal Navy before transfer to India.
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,5,5,2026-09-15T04:05:32Z,HMIS Kukri renamed INS Kukri post republic.,K243,River class,1946,1951,Converted to survey vessel post republic. Recommissioned as INS Investigator,Served as HMS Trent in the Royal Navy before being transferred to India.
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,5,6,2026-09-15T04:05:32Z,HMIS Hooghly renamed INS Hooghly post republic.,K330,River class,Purchased 1948,1950,scrapped,"Served as HMCS Waskesiu for the Royal Canadian Navy during World War II. Converted to a pilot vessel in Indian service, scrapped 1965."
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,5,7,2026-09-15T04:05:32Z,HMIS Tir renamed INS Tir post republic.,K256,River class,3 December 1945,30 September 1977,scrapped,Served as HMS Bann in the Royal Navy during World War II. Served as training ship in the Indian Navy.
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,5,8,2026-09-15T04:05:32Z,INS Khukri,F149,Blackwood Class,16 July 1958,,Sunk in action on 9 December 1971 during Indo-Pakistani War of 1971.,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,5,9,2026-09-15T04:05:32Z,INS Kirpan,F144,Blackwood Class,July 1959,1978,Transferred to Coast Guard Service 1978.,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,5,10,2026-09-15T04:05:32Z,INS Kuthar,F146,Blackwood Class,November 1959,18 Aug 1978,Transferred to Coast Guard Service 1978.,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,5,11,2026-09-15T04:05:32Z,INS Talwar,F140,Whitby class,26 April 1959,30 Oct 1985,Broken up for scrap 1992,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,5,12,2026-09-15T04:05:32Z,INS Trishul,F143,Whitby class,13 January 1960,31 Aug 1992,Broken up for scrap 1996,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,5,13,2026-09-15T04:05:32Z,INS Brahmaputra,F31,Leopard class,31 March 1958,30 Jun 1986,"Ordered HMS Panther, but transferred to India. Broken Up 1986",
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,5,14,2026-09-15T04:05:32Z,INS Beas,F37,Leopard class,24 May 1960,22 Dec 1992,Broken Up 1992,
