source_key,source_url,source_table,source_row,retrieved_at,Ship | Corvettes,Pennant | Corvettes,Class | Corvettes,Commissioned | Corvettes,Decommissioned | Corvettes,Fate | Corvettes,Notes | Corvettes
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,1,2026-09-15T04:05:32Z,HMIS Gondwana,K348,Flower class,15 May 1945,1946,returned to Royal Navy and sold to the Thai Navy as HTMS Bangpakong,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,2,2026-09-15T04:05:32Z,HMIS Sind,K274,Flower class,24 August 1945,1946,returned to Royal Navy and sold to the Thai Navy as HTMS Prasae,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,3,2026-09-15T04:05:32Z,HMIS Mahratta,K395,Flower class,1946,,Constructive total loss after running aground in 1947.,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,4,2026-09-15T04:05:32Z,HMIS Assam,K306,Flower class,19 February 1945,1947,returned to Royal Navy and scrapped,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,5,2026-09-15T04:05:32Z,HMIS Punjab,J239,Bathurst class,20 March 1942,1949,Transferred to Pakistan post-partition,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,6,2026-09-15T04:05:32Z,HMIS Bombay renamed INS Bombay post republic.,J249,Bathurst class,24 April 1942,1960,scrapped,Was involved in defence during the attack on Sydney Harbour
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,7,2026-09-15T04:05:32Z,HMIS Bengal renamed INS Bengal post republic.,J243,Bathurst class,8 August 1942,1960,scrapped,Sank the Imperial Japanese Navy commerce raider Hōkoku Maru in 1942 while in Indian service.
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,8,2026-09-15T04:05:32Z,HMIS Madras renamed INS Madras post republic.,J237,Bathurst class,12 May 1942,1960,scrapped,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,9,2026-09-15T04:05:32Z,INS Arnala,P68,Arnala class,29 June 1972,9 April 1999,,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,10,2026-09-15T04:05:32Z,INS Androth,P69,Arnala class,30 June 1972,9 April 1999,,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,11,2026-09-15T04:05:32Z,INS Anjadip,P73,Arnala class,23 December 1972,13 December 2003,,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,12,2026-09-15T04:05:32Z,INS Andaman,P74,Arnala class,28 December 1973,,Lost in a storm 22 August 1990,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,13,2026-09-15T04:05:32Z,INS Amini,P75,Arnala class,12 December 1974,16 September 2002,,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,14,2026-09-15T04:05:32Z,INS Kamorta,P77,Arnala class,21 November 1968,31 October 1991,,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,15,2026-09-15T04:05:32Z,INS Kadmatt,P78,Arnala class,23 December 1968,30 November 1992,,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,16,2026-09-15T04:05:32Z,INS Kiltan,P79,Arnala class,30 October 1969,30 June 1987,,Participated in Operation Trident (1971).
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,17,2026-09-15T04:05:32Z,INS Kavaratti,P80,Arnala class,23 December 1969,31 July 1986,,Participated in Operation Trident (1971).
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,18,2026-09-15T04:05:32Z,INS Katchall,P81,Arnala class,23 December 1969,31 December 1988,,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,19,2026-09-15T04:05:32Z,INS Amindivi,P83,Arnala class,,1986–88,,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,20,2026-09-15T04:05:32Z,INS Hosdurg,K73,Durg class,15 January 1978,5 June 1999,Sunk in a Sea Eagle AShM test in June 2000.,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,21,2026-09-15T04:05:32Z,INS Vijaydurg,K71,Durg class,25 December 1976,30 September 2002,,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,22,2026-09-15T04:05:32Z,INS Sindhudurg,K72,Durg class,29 May 1977,24 September 2004,,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,23,2026-09-15T04:05:32Z,INS Prahar,K98,Veer Class,1 March 1997,,Sunk in collision on 22 April 2006,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,24,2026-09-15T04:05:32Z,INS Veer,K40,Veer Class,26 March 1987,28 April 2016,,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,25,2026-09-15T04:05:32Z,INS Nipat,K42,Veer Class,5 December 1988,28 April 2016,,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,26,2026-09-15T04:05:32Z,INS Khukri,P49,Khukri Class,23 August 1989,23 December 2021,"Preserved as museum in Diu, India",
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,27,2026-09-15T04:05:32Z,INS Kirpan,P44,Khukri Class,16 August 1988,22 July 2023,Donated to Vietnam People's Navy,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,28,2026-09-15T04:05:32Z,INS Agray,P36,Abhay-class,30 January 1991,27 January 2017,,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,29,2026-09-15T04:05:32Z,INS Akshay,P35,Abhay-class,10 December 1990,3 June 2022,,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,30,2026-09-15T04:05:32Z,INS Ajay,P34,Abhay-class,24 January 1990,19 September 2022,,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,31,2026-09-15T04:05:32Z,INS Abhay,P33,Abhay-class,10 March 1989,6 October 2025,,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,32,2026-09-15T04:05:32Z,Anti-Submarine Naval Trawler,Anti-Submarine Naval Trawler,Anti-Submarine Naval Trawler,Anti-Submarine Naval Trawler,Anti-Submarine Naval Trawler,Anti-Submarine Naval Trawler,Anti-Submarine Naval Trawler
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,33,2026-09-15T04:05:32Z,HMIS Agra,T254,Basset class,,,,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,34,2026-09-15T04:05:32Z,HMIS Ahmedabad,T264,Basset class,,,,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,35,2026-09-15T04:05:32Z,HMIS Amritsar,T261,Basset class,,,,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,36,2026-09-15T04:05:32Z,HMIS Baroda,T249,Basset class,,1948,Transferred to Pakistan,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,37,2026-09-15T04:05:32Z,HMIS Berar,T256,Basset class,,,,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,38,2026-09-15T04:05:32Z,HMIS Calcutta,T339,Basset class,,,,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,39,2026-09-15T04:05:32Z,HMIS Cochin,T315,Basset class,,,,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,40,2026-09-15T04:05:32Z,HMIS Cuttack,T251,Basset class,,,,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,41,2026-09-15T04:05:32Z,HMIS Karachi,T262,Basset class,,,,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,42,2026-09-15T04:05:32Z,HMIS Lahore,T253,Basset class,,,,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,43,2026-09-15T04:05:32Z,HMIS Lucknow,T267,Basset class,,,,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,44,2026-09-15T04:05:32Z,HMIS Madura,T268,Basset class,,,,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,45,2026-09-15T04:05:32Z,HMIS Multan,T322,Basset class,,,,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,46,2026-09-15T04:05:32Z,HMIS Nagpur,T269,Basset class,,,,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,6,47,2026-09-15T04:05:32Z,HMIS Nasik,T258,Basset class,,,,
