source_key,source_url,source_table,source_row,retrieved_at,Ship | Ocean Going Minesweeper,Pennant | Ocean Going Minesweeper,Class | Ocean Going Minesweeper,Commissioned | Ocean Going Minesweeper,Decommissioned | Ocean Going Minesweeper,Fate | Ocean Going Minesweeper,Notes | Ocean Going Minesweeper
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,7,1,2026-09-15T03:49:19Z,HMIS Oostcapelle,,unique ship,before 1939,before 1947,,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,7,2,2026-09-15T03:49:19Z,HMIS Irawadi,,unique ship,before 1939,before 1947,,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,7,3,2026-09-15T03:49:19Z,HMIS Kathiawar,J155,Bangor Class,23 December 1942,1948,Transferred to Pakistan as PNS Chittagong.,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,7,4,2026-09-15T03:49:19Z,HMIS Baluchistan,J182,Bangor Class,28 October 1942,1948,Transferred to Pakistan as PNS Baluchistan.,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,7,5,2026-09-15T03:49:19Z,HMIS Oudh,J245,Bangor Class,21 October 1943,1948,Transferred to Pakistan as PNS Dacca.,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,7,6,2026-09-15T03:49:19Z,HMIS Malwa,J55,Bangor Class,1945,1948,Transferred to Pakistan as PNS Peshawar.,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,7,7,2026-09-15T03:49:19Z,HMIS Deccan,J129,Bangor Class,30 March 1945,1948,Sold in 1949 as the mercantile Kennery.,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,7,8,2026-09-15T03:49:19Z,HMIS Orissa,J200,Bangor Class,14 March 1942,1949,Scrapped,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,7,9,2026-09-15T03:49:19Z,HMIS Khyber,J190,Bangor Class,12 August 1942,1949,Scrapped,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,7,10,2026-09-15T03:49:19Z,HMIS Carnatic,J199,Bangor Class,27 October 1942,1949,Scrapped,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,7,11,2026-09-15T03:49:19Z,HMIS Kumaon,J164,Bangor Class,30 November 1942,1949,Scrapped,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,7,12,2026-09-15T03:49:19Z,HMIS Bihar,J247,Bangor Class,27 February 1944,1949,Scrapped,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,7,13,2026-09-15T03:49:19Z,HMIS Rajputana,J197,Bangor Class,30 April 1942,1961,Scrapped,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,7,14,2026-09-15T03:49:19Z,HMIS Konkan,J228,Bangor Class,12 June 1942,31 Jul 1972,Scrapped,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,7,15,2026-09-15T03:49:19Z,HMIS Rohilkhand,J180,Bangor Class,5 February 1943,1963,Scrapped,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,7,16,2026-09-15T03:49:19Z,INS Pondicherry,M61,Pondicherry class,2 February 1978,5 October 2007,,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,7,17,2026-09-15T03:49:19Z,INS Porbandar,M62,Pondicherry class,19 December 1978,2007,,
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,7,18,2026-09-15T03:49:19Z,INS Bedi,M63,Pondicherry class,27 April 1979,22 September 2009,,
