source_key,source_url,source_table,source_row,retrieved_at,Name | Submarine-launched ballistic missile,Origin | Submarine-launched ballistic missile,Type | Submarine-launched ballistic missile,Launch platforms | Submarine-launched ballistic missile,Notes | Submarine-launched ballistic missile
navy_weapon_systems,https://en.wikipedia.org/wiki/Weapon_systems_of_the_Indian_Navy,1,1,2026-09-15T04:05:32Z,Sagarika,India,Short-range,"Arihant, S5-class SSBN",
navy_weapon_systems,https://en.wikipedia.org/wiki/Weapon_systems_of_the_Indian_Navy,1,2,2026-09-15T04:05:32Z,K4,India,Medium-range,"Arihant, S5-class SSBN",
navy_weapon_systems,https://en.wikipedia.org/wiki/Weapon_systems_of_the_Indian_Navy,1,3,2026-09-15T04:05:32Z,K-5,India,Intercontinental,"Arihant, S5-class SSBN",
navy_weapon_systems,https://en.wikipedia.org/wiki/Weapon_systems_of_the_Indian_Navy,1,4,2026-09-15T04:05:32Z,K-6,India,Intercontinental,S5-class SSBN,
navy_weapon_systems,https://en.wikipedia.org/wiki/Weapon_systems_of_the_Indian_Navy,1,5,2026-09-15T04:05:32Z,Ship-launched ballistic missile,Ship-launched ballistic missile,Ship-launched ballistic missile,Ship-launched ballistic missile,Ship-launched ballistic missile
navy_weapon_systems,https://en.wikipedia.org/wiki/Weapon_systems_of_the_Indian_Navy,1,6,2026-09-15T04:05:32Z,Dhanush,India,Short-range,"INS Rajput, INS Sukanya, INS Subhadra",
navy_weapon_systems,https://en.wikipedia.org/wiki/Weapon_systems_of_the_Indian_Navy,1,7,2026-09-15T04:05:32Z,LORA,Israel,Theater quasi-ballistic,,[citation needed]
navy_weapon_systems,https://en.wikipedia.org/wiki/Weapon_systems_of_the_Indian_Navy,1,8,2026-09-15T04:05:32Z,Cruise/Anti-ship missiles,Cruise/Anti-ship missiles,Cruise/Anti-ship missiles,Cruise/Anti-ship missiles,Cruise/Anti-ship missiles
navy_weapon_systems,https://en.wikipedia.org/wiki/Weapon_systems_of_the_Indian_Navy,1,9,2026-09-15T04:05:32Z,BrahMos II,India/Russia,Hypersonic cruise missile,,Under development
navy_weapon_systems,https://en.wikipedia.org/wiki/Weapon_systems_of_the_Indian_Navy,1,10,2026-09-15T04:05:32Z,BrahMos,India/Russia,Supersonic cruise missile,Mostly all warships except (Talwar Trishul & Tabar),"Several variants: Ship-launched, Anti-ship/Land attack. Extended Range variants (ER) on order."
navy_weapon_systems,https://en.wikipedia.org/wiki/Weapon_systems_of_the_Indian_Navy,1,11,2026-09-15T04:05:32Z,Klub-S/N,Russia,Supersonic cruise missile,"Talwar-class frigate (Trishul, Talwar & Tabar) ,Sindhughosh-class submarine",
navy_weapon_systems,https://en.wikipedia.org/wiki/Weapon_systems_of_the_Indian_Navy,1,12,2026-09-15T04:05:32Z,P-15 Termit,USSR,Anti-ship missile,"Khukri and Veer-class corvettes (except INS Prabal, INS Pralaya, INS Vidyut)",
navy_weapon_systems,https://en.wikipedia.org/wiki/Weapon_systems_of_the_Indian_Navy,1,13,2026-09-15T04:05:32Z,Harpoon Block II,United States,Anti-ship missile,"P-8I Neptune, Shishumar-class submarine",
navy_weapon_systems,https://en.wikipedia.org/wiki/Weapon_systems_of_the_Indian_Navy,1,14,2026-09-15T04:05:32Z,Kh-35E,USSR,Anti-ship missile,"Brahmaputra-class frigate, Kora and Veer-class corvette (INS Prabal, INS Pralaya)",
navy_weapon_systems,https://en.wikipedia.org/wiki/Weapon_systems_of_the_Indian_Navy,1,15,2026-09-15T04:05:32Z,Exocet,France,Anti-ship missile,Kalvari-class submarine,
navy_weapon_systems,https://en.wikipedia.org/wiki/Weapon_systems_of_the_Indian_Navy,1,16,2026-09-15T04:05:32Z,Sea Eagle,United Kingdom,"Air-launched, anti-ship missile","Tu-142, Il-38, BAe Sea Harrier (retired), Westland Sea King",
navy_weapon_systems,https://en.wikipedia.org/wiki/Weapon_systems_of_the_Indian_Navy,1,17,2026-09-15T04:05:32Z,Rampage,Israel,"Air-launched, anti-ship missile",Mikoyan MiG-29K,
navy_weapon_systems,https://en.wikipedia.org/wiki/Weapon_systems_of_the_Indian_Navy,1,18,2026-09-15T04:05:32Z,NASM-SR,India,"Air-launched, anti-ship missile","Westland Sea King, MH-60R, HAL Dhruv",Under development
navy_weapon_systems,https://en.wikipedia.org/wiki/Weapon_systems_of_the_Indian_Navy,1,19,2026-09-15T04:05:32Z,NASM-MR,India,"Air-launched, anti-ship missile","Warships, HAL Tejas, HAL TEDBF",Under development
navy_weapon_systems,https://en.wikipedia.org/wiki/Weapon_systems_of_the_Indian_Navy,1,20,2026-09-15T04:05:32Z,Air-to-air missile,Air-to-air missile,Air-to-air missile,Air-to-air missile,Air-to-air missile
navy_weapon_systems,https://en.wikipedia.org/wiki/Weapon_systems_of_the_Indian_Navy,1,21,2026-09-15T04:05:32Z,R-73,USSR,Short range,Mikoyan MiG-29K,
navy_weapon_systems,https://en.wikipedia.org/wiki/Weapon_systems_of_the_Indian_Navy,1,22,2026-09-15T04:05:32Z,R-77,USSR,Long range,Mikoyan MiG-29K,
navy_weapon_systems,https://en.wikipedia.org/wiki/Weapon_systems_of_the_Indian_Navy,1,23,2026-09-15T04:05:32Z,Astra Mk 1,India,Long range,"Mikoyan MiG-29K, HAL TEDBF (future)",
navy_weapon_systems,https://en.wikipedia.org/wiki/Weapon_systems_of_the_Indian_Navy,1,24,2026-09-15T04:05:32Z,Astra Mk 2,India,Long range,"Mikoyan MiG-29K, HAL TEDBF (future)",Under development
navy_weapon_systems,https://en.wikipedia.org/wiki/Weapon_systems_of_the_Indian_Navy,1,25,2026-09-15T04:05:32Z,Astra Mk 3,India,Long range,"Mikoyan MiG-29K, HAL TEDBF (future)",Under development
