source_key,source_url,source_table,source_row,retrieved_at,system_name,branch,domain,category,status,source_status,status_as_of,commissioned_or_inducted_date,retired_or_decommissioned_date,quantity,quantity_min,quantity_max,quantity_raw,quantity_values,role_purpose,specifications,dimensions,make_manufacturer,country_of_origin,operators,notes,claim_id,source_title,source_publisher,source_published_date
official_pib_drdo_updates,https://www.pib.gov.in/pressreleasepage.aspx?lang=2&prid=2106362&reg=48,1,1,2026-09-15T03:49:19Z,ACADA,Indian Army,CBRN defence equipment,Chemical agent detection and alarm,on_order,Contract signed 25 February 2025 for 223 systems,2025-02-25,Not documented,Not documented,223,223,223,223 systems,[223],Detect chemical warfare agents and programmed toxic industrial chemicals in sampled air.,"{""principle"": ""Ion Mobility Spectrometry"", ""detectors"": ""Two IMS cells""}",Not documented,"L&T; designed by DRDO Defence Research and Development Establishment, Gwalior",India,Indian Army,Official contract evidence; induction date and detailed dimensions were not stated.,pib_acada_contract,Indian Army procures critical CBRN defence equipment,Ministry of Defence / PIB,26 February 2025
official_pib_drdo_updates,https://www.pib.gov.in/Pressreleaseshare.aspx?PRID=2115365&lang=2&reg=48,1,2,2026-09-15T03:49:19Z,ATAGS,Indian Army,artillery,155 mm/52 calibre towed artillery gun,on_order,MoD contracts signed 26 March 2025,2025-03-26,Not documented,Not documented,,,,Not documented,[],Replace vintage smaller-calibre guns and enhance long-range artillery firepower.,"{""calibre"": ""155 mm/52 calibre""}",Not documented,Bharat Forge; DRDO Armament Research and Development Establishment,India,Indian Army,Official contract evidence; public release did not state the contracted quantity.,pib_atags_contract,"MoD inks ₹6,900 crore contracts for ATAGS and HMV 6x6 gun-towing vehicles",Ministry of Defence / PIB,26 March 2025
official_pib_drdo_updates,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2115804&lang=2&reg=48&s=09,1,3,2026-09-15T03:49:19Z,NAMIS (Tr),Indian Army,anti-tank weapon systems,Tracked anti-tank weapon platform,on_order,Contract signed 27 March 2025,2025-03-27,Not documented,Not documented,,,,Not documented,[],Modernize the anti-tank capability of mechanized infantry.,Not documented,Not documented,Armoured Vehicle Nigam Limited; developed by DRDO Defence Research & Development Laboratory,India,Indian Army,Official contract evidence; quantity was not stated in the cited release.,pib_namis_contract,MoD inks contracts for NAMIS Tracked and light vehicles,Ministry of Defence / PIB,27 March 2025
official_pib_drdo_updates,https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=2092585&lang=2&reg=48,1,4,2026-09-15T03:49:19Z,Nag Mk 2,Indian Army,anti-tank missiles,Third-generation fire-and-forget anti-tank guided missile,under_trials,Field evaluation trials successful; ready for induction,2025-01-13,Not documented,Not documented,,,,Not documented,[],Fire-and-forget anti-tank engagement.,Not documented,Not documented,DRDO,India,Indian Army,Official field-evaluation result; ready-for-induction wording does not establish completed induction.,pib_nag_mk2_trials,Successful field evaluation trials of Nag Mk 2,Ministry of Defence / PIB,13 January 2025
official_pib_drdo_updates,https://www.pib.gov.in/PressReleseDetailm.aspx?PRID=2189725&lang=2&reg=48,1,5,2026-09-15T03:49:19Z,INVAR,Indian Army,anti-tank missiles,Laser-guided tank-launched anti-tank missile,on_order,Contract signed 13 November 2025,2025-11-13,Not documented,Not documented,,,,Not documented,[],Enhance the lethality of T-90 armoured regiments.,"{""guidance"": ""Laser-guided""}",Not documented,Bharat Dynamics Limited,India / Russia-origin system family,Indian Army,Official contract evidence; quantity and delivery schedule were not stated in the cited release.,pib_invar_contract,MoD and BDL sign contract for INVAR anti-tank missiles,Ministry of Defence / PIB,13 November 2025
official_pib_drdo_updates,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2171108&lang=2&reg=3,1,6,2026-09-15T03:49:19Z,LCA Tejas Mk1A,Indian Air Force,aircraft,Multirole fighter,on_order,Contract signed 25 September 2025; deliveries scheduled from 2027–28,2025-09-25,Not documented,Not documented,97,97,97,97 aircraft (68 fighters and 29 twin-seaters),"[97, 68, 29]",Multirole fighter aircraft.,"{""indigenous_content"": "">64%"", ""radar"": ""UTTAM AESA""}",Not documented,Hindustan Aeronautics Limited; ADA/DRDO ecosystem,India,Indian Air Force,"Official procurement supplement; quantity is a contract quantity, not an in-service count.",pib_tejas_mk1a_contract,"MoD signs ₹62,370 crore contract with HAL for procurement of 97 LCA Mk1A aircraft for IAF",Ministry of Defence / PIB,25 September 2025
official_pib_drdo_updates,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2093018&lang=1&reg=20,1,7,2026-09-15T03:49:19Z,INS Surat,Indian Navy,ships and submarines,Project 15B guided-missile destroyer,in_service,Commissioned 15 January 2025,2025-01-15,2025-01-15,Not documented,1,1,1,1 named ship,[1],Frontline guided-missile destroyer.,Not documented,Not documented,Mazagon Dock Shipbuilders Limited / Indian Navy Warship Design Bureau,India,Indian Navy,Official commissioning supplement; detailed technical fields remain source-dependent.,pib_ins_surat_nilgiri_vaghsheer,"PM dedicates INS Surat, INS Nilgiri and INS Vaghsheer",Ministry of Defence / PIB,15 January 2025
official_pib_drdo_updates,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2093018&lang=1&reg=20,1,8,2026-09-15T03:49:19Z,INS Nilgiri,Indian Navy,ships and submarines,Project 17A stealth frigate,in_service,Commissioned 15 January 2025,2025-01-15,2025-01-15,Not documented,1,1,1,1 named ship,[1],Frontline stealth frigate.,Not documented,Not documented,Mazagon Dock Shipbuilders Limited / Indian Navy Warship Design Bureau,India,Indian Navy,Official commissioning supplement; detailed technical fields remain source-dependent.,pib_ins_surat_nilgiri_vaghsheer,"PM dedicates INS Surat, INS Nilgiri and INS Vaghsheer",Ministry of Defence / PIB,15 January 2025
official_pib_drdo_updates,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2093018&lang=1&reg=20,1,9,2026-09-15T03:49:19Z,INS Vaghsheer,Indian Navy,ships and submarines,Project 75 Scorpene-class submarine,in_service,Commissioned 15 January 2025,2025-01-15,2025-01-15,Not documented,1,1,1,1 named submarine,[1],Frontline conventional attack submarine.,Not documented,Not documented,Mazagon Dock Shipbuilders Limited / Indian Navy Warship Design Bureau,India,Indian Navy,Official commissioning supplement; detailed technical fields remain source-dependent.,pib_ins_surat_nilgiri_vaghsheer,"PM dedicates INS Surat, INS Nilgiri and INS Vaghsheer",Ministry of Defence / PIB,15 January 2025
official_pib_drdo_updates,https://www.pib.gov.in/Pressreleaseshare.aspx?PRID=2137263&lang=2&reg=48,1,10,2026-09-15T03:49:19Z,INS Arnala,Indian Navy,ships and submarines,Anti-submarine warfare shallow-water craft,in_service,Commissioned 18 June 2025,2025-06-18,2025-06-18,Not documented,1,1,1,1 named craft,[1],"Sub-surface surveillance and interdiction, search and rescue, and low-intensity maritime operations.","{""propulsion"": ""Diesel engine-waterjet""}","{""length"": ""77 m"", ""gross_tonnage"": "">1,490 tonnes""}",Garden Reach Shipbuilders and Engineers,India,Indian Navy,Official commissioning and capability supplement.,pib_ins_arnala,INS Arnala commissioned into the Indian Navy,Ministry of Defence / PIB,18 June 2025
